Name, Parameters, LL, AIC,DLL,DAIC,,
AS-PLCG-F,114488,-7061525.774,14352027.55,,,,
AE-PLCG-F,116654,-7022197.964,14277703.93,39327.81021,74323.62042,,
AS-PLCG-D,34347,-3017383.992,6103461.984,,,,
AE-PLCG-D,36513,-2978056.182,6029138.364,39327.81021,74323.62042,,
AS-PLCG-R,116596,-7001030.245,14235252.49,,,,
AE-PLCG-R,118696,-6964004.749,14165401.5,37025.49591,69850.99181,,
AS-PLCG-RD,35048,-2961900.46,5993896.92,,,,
AE-PLCG-RD,37148,-2924874.97,5924045.93,37025.49,69850.99,,
AS-PLCG-UC,117530,-6979550.303,14194160.61,,,,
AE-PLCG-UC,119618,-6942526.51,14124289.02,37023.79273,69871.58546,,
AS-PLCG-BR,185086,-6367714.167,13105600.33,,,,
AE-PLCG-BR,186863,-6338194.383,13050114.77,29519.78397,55485.56793,,
AS-PLCG-BL,116930,-6999096.048,14232052.1,,,,
AE-PLCG-BL,119030,-6962070.552,14162201.1,37025.49591,69850.99181,,
AS-PLCG-RX,37026,-991944.8736109062,2057941.7472218124
AE-PLCG-RX,37026,-991944.8736109062,2057941.7472218124